,Title,Published_date,Views,Likes,Comments,Month
888,"Lamborghini Huracan Performante v Porsche 911 Turbo S - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-08-24,4559759,84170,4360,Aug
1614,2017 Nissan GT-R vs Tesla Model S - Gasoline vs Electric Acceleration Challenge | Head2head,2016-12-24,4515602,40594,4670,Dec
657,Lamborghini Aventador vs 700hp Audi RS7 - DRAG RACE,2020-08-26,4504045,127755,6034,Aug
857,Ford F150 Raptor v Ranger Raptor v Mercedes X-Class v VW Amarok: DRAG RACE,2019-10-05,4489080,71146,5676,Oct
821,"New BMW M135i v AMG A35 v Audi S3 v VW Golf R - DRAG RACE, ROLLING RACE & BRAKE TEST!",2019-11-23,4477890,109603,4863,Nov
918,"Toyota Supra v BMW Z4 - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-07-06,4459919,93982,7710,Jul
1075,"Mercedes-AMG G63 SUV 2019 in-depth review - see why it's worth £150,000!",2018-11-14,4455791,46965,2860,Nov
399,Ferrari 488 Pista Piloti v Aventador SV v 800hp 911 Turbo S: DRAG RACE,2021-07-10,4451032,138876,9104,Jul
1269,"Mercedes-AMG GT R vs Nissan GT-R: DRAG RACE, ROLLING RACE & BRAKE TEST | Head-to-Head",2017-12-23,4422161,73259,4151,Dec
1334,New Audi A8 2018 review - the most high-tech car ever?,2017-10-06,4417454,48533,3807,Oct
306,New Range Rover 2022: EXCLUSIVE in-depth review!,2021-10-26,4371013,111624,5942,Oct
276,This is the MOST luxurious truck EVER!,2021-12-02,4354099,112803,4567,Dec
1146,Hilarious - my 70 year old mom reacts to Audi RS4 performance | Mat Vlogs,2018-07-17,4327953,61574,3147,Jul
994,BMW X7 SUV 2020 review - is it the ultimate 7-seater 4x4?,2019-03-20,4297628,51441,3131,Mar
1083,Hyundai i30N vs E36 BMW 328i - DRAG & ROLLING RACE & BRAKE TEST - can £2.8k beat £28k?,2018-10-28,4270155,49995,4308,Oct
226,Audi R8 v RS e-tron GT v RS3 v RS6 v RSQ8 v RS5: DRAG RACE,2022-01-22,4266843,113548,6781,Jan
1028,Mercedes Sprinter vs Ford Transit vs VW Crafter: VAN DRAG RACE,2019-02-02,4264517,67828,2990,Feb
790,The greatest DRAG RACES *EVER*!,2020-01-22,4253154,77965,1546,Jan
810,Volkswagen Golf 2020 ultimate review: the full truth about the 'new' MK8!,2019-12-12,4252254,52566,5343,Dec
955,"Toyota Supra 1,000hp review - and all you need to know about the legendary MK4!",2019-05-12,4237841,100519,4730,May
585,We drove these new electric cars until they DIED!,2020-11-27,4219788,67562,6573,Nov
736,Toyota Supra vs BMW M4: DRAG RACE!,2020-05-02,4198324,94879,5052,May
1363,Range Rover Velar 2018 SUV in-depth review | carwow Reviews,2017-09-05,4129833,33094,1682,Sep
929,BMW X5 v Mercedes GLE v Audi Q7 v VW Touareg - which is the best premium SUV?,2019-06-21,4127321,40121,4763,Jun
1391,Tesla Model X 2018 electric SUV review | Mat Watson Review,2017-08-11,4123874,48799,2440,Aug
1234,Honda (Acura) NSX vs Nissan GT-R DRAG & ROLLING RACE + BRAKE TEST | Head-to-Head,2018-02-10,4119098,56805,3734,Feb
1109,New Suzuki Jimny SUV 2019 - see why I love it... but you might not!,2018-09-19,4086836,50299,5012,Sep
470,New Mercedes EQS REVIEW & tested 0-60mph - is it as quick as a Tesla?,2021-04-15,4059325,73583,7815,Apr
954,"Toyota Supra 2020 in-depth review - tested on road, sideways on track and over the 1/4 mile sprint!",2019-05-14,4021926,63478,7073,May
1104,New Mercedes-AMG GT 4-door Coupe 2019 REVIEW - see if it's quicker than an E63 S over a 1/4 mile,2018-09-26,4015479,51134,3292,Sep
869,Best new cars coming 2020-2022 - my A-Z guide of the Frankfurt Motor Show,2019-09-14,3998482,37534,4155,Sep
561,"BMW M5 1,000hp v Audi RS3 800hp v Porsche 911 Turbo S - DRAG RACE",2020-12-26,3997956,139419,11999,Dec
1111,"BMW M3 generations DRAG RACE, ROLLING RACE & review",2018-09-15,3979332,56029,4966,Sep
976,Porsche Panamera 2020 in-depth review | carwow Reviews,2019-04-12,3910499,41602,1769,Apr
441,Audi RS e-tron GT v Porsche Taycan v Tesla Model S: DRAG RACE,2021-05-22,3904086,116840,7920,May
859,BMW 3 Series v Audi A4 v Merc C-Class v Volvo S60 v Alfa Giulia – which is best?,2019-10-03,3897134,47465,4496,Oct
578,BMW X6M v Audi RSQ8 v Porsche Cayenne Turbo S - DRAG RACE,2020-12-05,3891527,102707,6783,Dec
1318,Toyota's Rolls-Royce for half the money - the incredible 2018 Century | Top10s,2017-10-27,3885445,39133,4200,Oct
797,BMW M340i v Audi S4 v AMG E53 v Volvo S60 Polestar: DRAG RACE petrol v diesel v hybrid,2020-01-04,3874115,69443,6869,Jan
1121,Mercedes S-Class vs Audi A8 vs BMW 7 Series review - which is the best? | carwow Reviews,2018-08-31,3859155,47456,5474,Aug
1646,Ultimate Mercedes-AMG Drag Race: six cars... 2983hp... one winner! | Head2Head,2016-11-19,3854425,53066,1795,Nov
756,Land Rover Defender 2021 in-depth on and off-road REVIEW,2020-03-25,3854184,67966,4769,Mar
675,AMG G63 Drag Race: my GIRLFRIEND vs Yianni's,2020-08-05,3826138,142837,8024,Aug
1094,Mercedes S-Class Coupe 2019 in-depth review | carwow Reviews,2018-10-11,3823779,43405,2463,Oct
894,BMW X7 vs Range Rover - see which is the best luxury SUV?,2019-08-16,3820744,52104,4100,Aug
381,Tesla Model X v Fiat Panda Cross: UP-HILL DRAG RACE & which is best OFF-ROAD!,2021-07-30,3816388,89686,6319,Jul
938,"BMW Z4 M40i v Porsche Boxster GTS vs Audi TT-S - DRAG RACE, ROLLING RACE & BRAKE TEST",2019-06-09,3796439,68842,3580,Jun
1147,Polo GTI vs Fiesta ST vs Yaris GRMN vs MINI JCW vs 208 GTI - DRAG RACE and ROLLING RACE,2018-07-14,3782057,35834,2870,Jul
77,The BEST button in the world!,2022-06-29,3762126,40642,681,Jun
1368,Mercedes-AMG E63 S v BMW M5 v Audi RS 5 DRAG & ROLLING RACE | Head2Head,2017-09-02,3754298,37654,2891,Sep
965,"BMW 840d vs M140i vs E60 M5 V10 - DRAG RACE, ROLLING RACE AND BRAKE TEST",2019-04-27,3753710,61929,3161,Apr
1581,Tesla Model S P100D Ludicrous Plus 2018 in-depth review | Mat Watson Reviews,2017-02-04,3743277,39382,3251,Feb
296,F1 Car v Radio Controlled Car: DRAG RACE,2021-11-06,3728431,139955,6345,Nov
1025,BMW X5 SUV 2020 in-depth review | carwow Reviews,2019-02-08,3727517,31997,1850,Feb
347,New Kia EV6 review: the best electric car in the world!,2021-09-06,3722984,71513,4450,Sep
1322,BMW M760Li vs M3 Competition – DRAG RACE & ROLLING RACE | Head to Head,2017-10-21,3720577,35972,2104,Oct
